Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Rockman Company  U S A  Inc,Food,"Groceries and Related Products, NEC",Grocery Distributor,Vincent Luu,CA,Los Angeles,90040,6425 Randolph Street,Not in Sample,rockmanusa.com,"33.97756,-118.1455",Single Location,BOTH,Unknown,,,
Vera Markowitz,Other Business Services,"Business Services, NEC",Unclassified,Vera Markowitz,CA,Beverly Hills,90210,715 North Arden Drive,Not in Sample,,"34.087428,-118.396822",Single Location,B2B,$100.000 to $499.999,7389,561990,Administrative and Support and Waste Management and Remediation Services
Earth Wise Nutrition Center,Shopping & Stores,Miscellaneous Food Stores,Vitamins,"Lois Hebert, Site Manager",CA,Manhattan Beach,90266,3010 North Sepulveda Boulevard,Not in Sample,earthwisevitamins.com,"33.89791,-118.39595",Branch,B2C,$100.000 to $499.999,5499,4461910,Retail Trade
Mc Nicholas Law Office,Legal,Legal Services,Legal Services,John Mcnicholas,CA,Manhattan Beach,90266,599 33rd St,Not in Sample,mcnicholaslawoffice.com,"33.899206,-118.409866",Single Location,BOTH,$100.000 to $499.999,8111,541110,"Professional, Scientific, and Technical Services"
Fantastic Sams,Consumer Services,Beauty Shops,Hair Treatments,"Amy Vazin, Owner",CA,San Pedro,90732,980 North Western Avenue # F,Not in Sample,fantasticsams.com,"33.75127,-118.30892",Branch,B2C,$100.000 to $499.999,7231,8121120,Other Services (except Public Administration)
BSwagg,Travel & Leisure,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Servic,Professional Talent Management,Mike Butler,CA,Los Angeles,90046,2000 Hollywood blvd,Not in Sample,b-swagg.com,"34.1016539,-118.3545941",Single Location,B2B,Unknown,,,
Langer Greg R,Legal,Legal Services,Lawyers and Attorneys,Greg Langer,CA,West Hollywood,90069,9200 West Sunset Boulevard # 900,Not in Sample,rpblaw.com,"34.090446,-118.3926",Single Location,BOTH,$100.000 to $499.999,8111,5411100,"Professional, Scientific, and Technical Services"
London Market & Liquor,Beverages,Wine and Distilled Alcoholic Beverages,Wholesale Liquors,Mandana Sanjari,CA,Lynwood,90262,10539 Long Beach Boulevard,Not in Sample,,"33.93813,-118.214",Single Location,B2B,$100.000 to $499.999,5182,4453100,Retail Trade
Bina Babak DO,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,Babak Bina,CA,Downey,90242,7601 Imperial Highway,Not in Sample,rancho.org,"33.92639,-118.15639",Single Location,B2C,$500.000 to $999.999,8011,6211110,Health Care and Social Assistance
U-Haul,Passenger Car Leasing,"Truck Rental and Leasing, Without Drivers",Truck Renting and Leasing,"Martin Lara, President",CA,Los Angeles,90058,1710 East Vernon Avenue,Not in Sample,uhaul.com,"34.00386,-118.24273",Branch,BOTH,$5.000.000 to $9.999.999,7513,5321201,Real Estate and Rental and Leasing
